AppNum,Subject,SGrade,Sitting,ExamName,ExamYear,ExamNumber,SVGrade,exammonth
YCT1827468,ENGLISH,C6,1,SSCE,2016,4251151057,0,MAY/JUN
YCT1827468,MATHEMATICS,B3,1,SSCE,2016,4251151057,0,MAY/JUN
YCT1827468,GOVERNMENT,B3,1,SSCE,2016,4251151057,0,MAY/JUN
YCT1827468,ECONOMICS,C6,2,GCE,2015,5282410137,0,NOV/DEC
YCT1827468,BIOLOGY,C4,1,SSCE,2016,4251151057,0,MAY/JUN
YCT1827468,CRK,C6,2,GCE,2015,5282410137,0,NOV/DEC
YCT1865737,ENGLISH,C5,1,SSCE,2013,4280309265,0,MAY/JUN
YCT1865737,MATHEMATICS,C6,1,SSCE,2013,4280309265,0,MAY/JUN
YCT1865737,ECONOMICS,C4,1,SSCE,2013,4280309265,0,MAY/JUN
YCT1865737,GEOGRAPHY,B3,1,SSCE,2013,4280309265,0,MAY/JUN
YCT1865737,AGRICSCIENCE,C6,1,SSCE,2013,4280309265,0,MAY/JUN
YCT1865737,BIOLOGY,C6,1,SSCE,2013,4280309265,0,MAY/JUN
YCT1865737,CHEMISTRY,C6,1,SSCE,2013,4280309265,0,MAY/JUN
YCT1865737,PHYSICS,C4,1,SSCE,2013,4280309265,0,MAY/JUN
YCT1817357,ENGLISH,C6,1,SSCE,2011,4251058075,0,MAY/JUN
YCT1817357,MATHEMATICS,C6,1,SSCE,2011,4251058075,0,MAY/JUN
YCT1817357,BIOLOGY,C6,1,SSCE,2011,4251058075,0,MAY/JUN
YCT1817357,GOVERNMENT,C6,1,SSCE,2011,4251058075,0,MAY/JUN
YCT1817357,ACCOUNTING,C5,1,SSCE,2011,4251058075,0,MAY/JUN
YCT1817357,COMMERCE,B3,1,SSCE,2011,4251058075,0,MAY/JUN
YCT1817357,ECONOMICS,C6,1,SSCE,2011,4251058075,0,MAY/JUN
86907376AB,ENGLISH,C6,1,SSCE,2017,4041505377,0,MAY/JUN
86907376AB,MATHEMATICS,B2,1,SSCE,2017,4041505377,0,MAY/JUN
86907376AB,COMMERCE,B3,1,SSCE,2017,4041505377,0,MAY/JUN
86907376AB,ACCOUNTING,B2,1,SSCE,2017,4041505377,0,MAY/JUN
86907376AB,ECONOMICS,C6,1,SSCE,2017,4041505377,0,MAY/JUN
86907376AB,GOVERNMENT,B3,1,SSCE,2017,4041505377,0,MAY/JUN
86907376AB,CIVIC EDUCATION,A1,1,SSCE,2017,4041505377,0,MAY/JUN
86907376AB,BIOLOGY,E8,1,SSCE,2017,4041505377,0,MAY/JUN
86907376AB,MARKETING,C5,1,SSCE,2017,4041505377,0,MAY/JUN
85759361GB,ENGLISH,C6,1,SSCE,2018,4252387016,0,MAY/JUN
85759361GB,MATHEMATICS,A1,1,SSCE,2018,4252387016,0,MAY/JUN
85759361GB,GOVERNMENT,D7,1,SSCE,2018,4252387016,0,MAY/JUN
85759361GB,ACCOUNTING,C5,1,SSCE,2018,4252387016,0,MAY/JUN
85759361GB,COMMERCE,C6,1,SSCE,2018,4252387016,0,MAY/JUN
85759361GB,ECONOMICS,C5,1,SSCE,2018,4252387016,0,MAY/JUN
85759361GB,BIOLOGY,C6,1,SSCE,2018,4252387016,0,MAY/JUN
85759361GB,DATA PROCESSING,C6,1,SSCE,2018,4252387016,0,MAY/JUN
85759361GB,CIVIC EDUCATION,B3,1,SSCE,2018,4252387016,0,MAY/JUN